./tests/regressiontests/test_client_regress/models.py:29: warning: test_contains has 81 NLOC, 19 CCN, 610 token, 1 PARAM, 91 length
./django/utils/ipv6.py:143: warning: is_valid_ipv6_address has 32 NLOC, 19 CCN, 205 token, 1 PARAM, 63 length
./django/utils/module_loading.py:6: warning: module_has_submodule has 49 NLOC, 17 CCN, 217 token, 2 PARAM, 64 length
./django/contrib/comments/views/comments.py:32: warning: post_comment has 71 NLOC, 17 CCN, 501 token, 3 PARAM, 100 length
./django/contrib/localflavor/id/forms.py:115: warning: clean has 32 NLOC, 21 CCN, 332 token, 2 PARAM, 50 length
./django/contrib/auth/management/commands/createsuperuser.py:46: warning: handle has 67 NLOC, 23 CCN, 358 token, 3 PARAM, 81 length
./django/contrib/admin/templatetags/admin_list.py:167: warning: items_for_result has 62 NLOC, 25 CCN, 471 token, 3 PARAM, 73 length
./django/contrib/admin/templatetags/admin_list.py:281: warning: date_hierarchy has 64 NLOC, 18 CCN, 512 token, 1 PARAM, 71 length
./django/contrib/admin/static/admin/js/SelectFilter2.js:140: warning: filter_key_down has 16 NLOC, 16 CCN, 197 token, 2 PARAM, 19 length
./django/contrib/admin/static/admin/js/getElementsBySelector.js:25: warning: document.getElementsBySelector has 121 NLOC, 31 CCN, 762 token, 1 PARAM, 133 length
./django/contrib/admin/static/admin/js/jquery.js:75: warning: init has 67 NLOC, 24 CCN, 486 token, 2 PARAM, 107 length
./django/contrib/admin/static/admin/js/jquery.js:305: warning: jQuery.fn.extend has 34 NLOC, 20 CCN, 255 token, 0 PARAM, 55 length
./django/contrib/admin/static/admin/js/jquery.js:1341: warning: val has 37 NLOC, 17 CCN, 264 token, 1 PARAM, 94 length
./django/contrib/admin/static/admin/js/jquery.js:1449: warning: attr has 57 NLOC, 38 CCN, 412 token, 4 PARAM, 93 length
./django/contrib/admin/static/admin/js/jquery.js:1559: warning: add has 64 NLOC, 22 CCN, 457 token, 4 PARAM, 114 length
./django/contrib/admin/static/admin/js/jquery.js:1677: warning: remove has 84 NLOC, 37 CCN, 586 token, 4 PARAM, 118 length
./django/contrib/admin/static/admin/js/jquery.js:1797: warning: trigger has 64 NLOC, 34 CCN, 509 token, 3 PARAM, 106 length
./django/contrib/admin/static/admin/js/jquery.js:1958: warning: fix has 35 NLOC, 39 CCN, 370 token, 1 PARAM, 55 length
./django/contrib/admin/static/admin/js/jquery.js:2528: warning: liveHandler has 45 NLOC, 17 CCN, 398 token, 1 PARAM, 61 length
./django/contrib/admin/static/admin/js/jquery.js:2647: warning: Sizzle has 97 NLOC, 50 CCN, 811 token, 4 PARAM, 121 length
./django/contrib/admin/static/admin/js/jquery.js:3214: warning: CHILD has 45 NLOC, 19 CCN, 254 token, 2 PARAM, 49 length
./django/contrib/admin/static/admin/js/jquery.js:2790: warning: Sizzle.find has 349 NLOC, 22 CCN, 666 token, 3 PARAM, 523 length
./django/contrib/admin/static/admin/js/jquery.js:2630: warning: function has 1001 NLOC, 27 CCN, 653 token, 0 PARAM, 1698 length
./django/contrib/admin/static/admin/js/jquery.js:4352: warning: buildFragment has 22 NLOC, 16 CCN, 197 token, 3 PARAM, 31 length
./django/contrib/admin/static/admin/js/jquery.js:4414: warning: clean has 63 NLOC, 35 CCN, 584 token, 4 PARAM, 93 length
./django/contrib/admin/static/admin/js/jquery.js:4579: warning: style has 117 NLOC, 34 CCN, 471 token, 3 PARAM, 156 length
./django/contrib/admin/static/admin/js/jquery.js:5163: warning: xhr.onreadystatechange has 44 NLOC, 21 CCN, 234 token, 1 PARAM, 63 length
./django/contrib/admin/static/admin/js/jquery.js:4975: warning: ajax has 118 NLOC, 67 CCN, 1049 token, 1 PARAM, 325 length
./django/contrib/admin/static/admin/js/jquery.js:5346: warning: httpData has 19 NLOC, 16 CCN, 162 token, 3 PARAM, 29 length
./django/contrib/admin/views/main.py:84: warning: get_filters has 42 NLOC, 17 CCN, 297 token, 2 PARAM, 64 length
./django/contrib/admin/views/main.py:302: warning: get_query_set has 46 NLOC, 19 CCN, 284 token, 2 PARAM, 78 length
./django/contrib/admin/options.py:227: warning: lookup_allowed has 29 NLOC, 16 CCN, 221 token, 3 PARAM, 44 length
./django/contrib/admin/options.py:957: warning: add_view has 78 NLOC, 17 CCN, 650 token, 4 PARAM, 85 length
./django/contrib/admin/options.py:1045: warning: change_view has 78 NLOC, 17 CCN, 707 token, 5 PARAM, 89 length
./django/contrib/admin/options.py:1136: warning: changelist_view has 110 NLOC, 32 CCN, 798 token, 3 PARAM, 150 length
./django/contrib/admin/validation.py:14: warning: validate has 130 NLOC, 51 CCN, 967 token, 2 PARAM, 176 length
./django/contrib/admin/validation.py:262: warning: validate_base has 85 NLOC, 33 CCN, 767 token, 2 PARAM, 105 length
./django/contrib/contenttypes/management.py:5: warning: update_contenttypes has 56 NLOC, 17 CCN, 275 token, 4 PARAM, 66 length
./django/contrib/contenttypes/views.py:7: warning: shortcut has 49 NLOC, 22 CCN, 321 token, 3 PARAM, 74 length
./django/contrib/gis/utils/layermapping.py:148: warning: check_layer has 54 NLOC, 17 CCN, 362 token, 1 PARAM, 96 length
./django/contrib/gis/utils/layermapping.py:506: warning: _save has 47 NLOC, 20 CCN, 312 token, 3 PARAM, 71 length
./django/contrib/gis/db/backends/postgis/operations.py:483: warning: spatial_lookup_sql has 46 NLOC, 24 CCN, 385 token, 6 PARAM, 84 length
./django/contrib/gis/db/models/sql/compiler.py:10: warning: get_columns has 66 NLOC, 18 CCN, 530 token, 2 PARAM, 85 length
./django/contrib/gis/db/models/query.py:571: warning: _distance_attribute has 85 NLOC, 41 CCN, 627 token, 6 PARAM, 144 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/admindocs/views.py:179: warning: model_detail has 80 NLOC, 17 CCN, 647 token, 3 PARAM, 93 length
./django/http/multipartparser.py:92: warning: parse has 97 NLOC, 27 CCN, 603 token, 1 PARAM, 143 length
./django/db/backends/oracle/creation.py:46: warning: _create_test_db has 61 NLOC, 17 CCN, 399 token, 3 PARAM, 66 length
./django/db/backends/oracle/base.py:151: warning: convert_values has 23 NLOC, 26 CCN, 242 token, 3 PARAM, 41 length
./django/db/backends/creation.py:31: warning: sql_create_model has 65 NLOC, 25 CCN, 468 token, 4 PARAM, 75 length
./django/db/models/fields/related.py:354: warning: __set__ has 33 NLOC, 16 CCN, 320 token, 3 PARAM, 57 length
./django/db/models/sql/compiler.py:53: warning: as_sql has 61 NLOC, 23 CCN, 526 token, 3 PARAM, 98 length
./django/db/models/sql/compiler.py:168: warning: get_columns has 65 NLOC, 18 CCN, 498 token, 2 PARAM, 79 length
./django/db/models/sql/compiler.py:333: warning: get_ordering has 64 NLOC, 22 CCN, 488 token, 1 PARAM, 84 length
./django/db/models/sql/compiler.py:855: warning: as_sql has 45 NLOC, 20 CCN, 450 token, 1 PARAM, 51 length
./django/db/models/sql/query.py:443: warning: combine has 72 NLOC, 25 CCN, 556 token, 3 PARAM, 115 length
./django/db/models/sql/query.py:559: warning: deferred_to_data has 45 NLOC, 18 CCN, 327 token, 3 PARAM, 76 length
./django/db/models/sql/query.py:741: warning: change_aliases has 49 NLOC, 17 CCN, 447 token, 2 PARAM, 63 length
./django/db/models/sql/query.py:1219: warning: add_q has 39 NLOC, 17 CCN, 252 token, 4 PARAM, 50 length
./django/db/models/sql/where.py:74: warning: as_sql has 41 NLOC, 17 CCN, 209 token, 3 PARAM, 55 length
./django/db/models/sql/where.py:130: warning: make_atom has 69 NLOC, 26 CCN, 522 token, 4 PARAM, 88 length
./django/db/models/query.py:165: warning: __getitem__ has 37 NLOC, 19 CCN, 294 token, 2 PARAM, 45 length
./django/db/models/query.py:231: warning: iterator has 61 NLOC, 22 CCN, 423 token, 1 PARAM, 87 length
./django/db/models/query.py:1356: warning: get_cached_row has 42 NLOC, 18 CCN, 319 token, 5 PARAM, 92 length
./django/db/models/query.py:1464: warning: __iter__ has 46 NLOC, 17 CCN, 332 token, 1 PARAM, 66 length
./django/db/models/query.py:1596: warning: prefetch_related_objects has 57 NLOC, 22 CCN, 343 token, 2 PARAM, 107 length
./django/db/models/deletion.py:225: warning: delete has 36 NLOC, 20 CCN, 366 token, 1 PARAM, 55 length
./django/db/models/base.py:32: warning: __new__ has 120 NLOC, 49 CCN, 926 token, 4 PARAM, 175 length
./django/db/models/base.py:278: warning: __init__ has 56 NLOC, 22 CCN, 402 token, 3 PARAM, 92 length
./django/db/models/base.py:642: warning: _get_unique_checks has 33 NLOC, 19 CCN, 285 token, 2 PARAM, 51 length
./django/views/decorators/http.py:78: warning: condition.condition.decorator.inner has 62 NLOC, 38 CCN, 374 token, 3 PARAM, 78 length
./django/views/debug.py:219: warning: get_traceback_data has 57 NLOC, 18 CCN, 449 token, 1 PARAM, 63 length
./django/views/i18n.py:170: warning: javascript_catalog has 89 NLOC, 36 CCN, 686 token, 3 PARAM, 114 length
