./tests/template_tests/tests.py:546: warning: test_templates has 72 NLOC, 17 CCN, 564 token, 1 PARAM, 96 length
./django/contrib/admin/static/admin/js/jquery.js:4692: warning: } has 52 NLOC, 45 CCN, 458 token, 3 PARAM, 75 length
./django/contrib/admin/static/admin/js/jquery.js:5014: warning: tokenize has 48 NLOC, 16 CCN, 306 token, 2 PARAM, 66 length
./django/contrib/admin/static/admin/js/jquery.js:5107: warning: } has 30 NLOC, 16 CCN, 204 token, 3 PARAM, 32 length
./django/contrib/admin/static/admin/js/jquery.js:5183: warning: function has 60 NLOC, 28 CCN, 397 token, 4 PARAM, 84 length
./django/contrib/admin/static/admin/js/jquery.js:5326: warning: superMatcher has 65 NLOC, 33 CCN, 389 token, 5 PARAM, 90 length
./django/contrib/admin/static/admin/js/jquery.js:5458: warning: select has 47 NLOC, 18 CCN, 346 token, 4 PARAM, 64 length
./django/contrib/admin/static/admin/js/jquery.js:3693: warning: function has 185 NLOC, 5 CCN, 1069 token, 2 PARAM, 1853 length
./django/contrib/admin/static/admin/js/jquery.js:6038: warning: function has 29 NLOC, 17 CCN, 220 token, 1 PARAM, 39 length
./django/contrib/admin/static/admin/js/jquery.js:6103: warning: domManip has 66 NLOC, 25 CCN, 460 token, 3 PARAM, 97 length
./django/contrib/admin/static/admin/js/jquery.js:6259: warning: fixCloneNodeIssues has 34 NLOC, 18 CCN, 278 token, 2 PARAM, 66 length
./django/contrib/admin/static/admin/js/jquery.js:6382: warning: clone has 37 NLOC, 18 CCN, 309 token, 3 PARAM, 54 length
./django/contrib/admin/static/admin/js/jquery.js:6437: warning: buildFragment has 76 NLOC, 33 CCN, 575 token, 4 PARAM, 126 length
./django/contrib/admin/static/admin/js/jquery.js:6669: warning: showHide has 39 NLOC, 20 CCN, 278 token, 2 PARAM, 53 length
./django/contrib/admin/static/admin/js/jquery.js:6801: warning: style has 36 NLOC, 25 CCN, 320 token, 4 PARAM, 64 length
./django/contrib/admin/static/admin/js/jquery.js:7991: warning: done has 70 NLOC, 24 CCN, 412 token, 4 PARAM, 108 length
./django/contrib/admin/static/admin/js/jquery.js:7716: warning: ajax has 127 NLOC, 56 CCN, 986 token, 2 PARAM, 386 length
./django/contrib/admin/static/admin/js/jquery.js:8117: warning: ajaxHandleResponses has 45 NLOC, 18 CCN, 251 token, 3 PARAM, 59 length
./django/contrib/admin/static/admin/js/jquery.js:8178: warning: ajaxConvert has 53 NLOC, 21 CCN, 346 token, 2 PARAM, 83 length
./django/contrib/admin/static/admin/js/jquery.js:8529: warning: callback has 43 NLOC, 18 CCN, 224 token, 2 PARAM, 72 length
./django/contrib/admin/static/admin/js/jquery.js:8481: warning: send has 42 NLOC, 16 CCN, 275 token, 2 PARAM, 143 length
./django/contrib/admin/static/admin/js/jquery.js:8755: warning: stop has 217 NLOC, 27 CCN, 433 token, 1 PARAM, 248 length
./django/contrib/admin/static/admin/js/jquery.js:9264: warning: jQuery.speed has 16 NLOC, 16 CCN, 163 token, 3 PARAM, 31 length
./django/contrib/admin/options.py:376: warning: lookup_allowed has 45 NLOC, 22 CCN, 324 token, 3 PARAM, 64 length
./django/contrib/admin/options.py:1363: warning: changeform_view has 75 NLOC, 19 CCN, 641 token, 5 PARAM, 88 length
./django/contrib/admin/options.py:1459: warning: changelist_view has 114 NLOC, 32 CCN, 840 token, 3 PARAM, 155 length
./django/contrib/admin/utils.py:290: warning: label_for_field has 44 NLOC, 17 CCN, 270 token, 4 PARAM, 53 length
./django/contrib/contenttypes/management.py:9: warning: update_contenttypes has 63 NLOC, 20 CCN, 315 token, 5 PARAM, 79 length
./django/contrib/contenttypes/views.py:11: warning: shortcut has 52 NLOC, 19 CCN, 334 token, 3 PARAM, 80 length
./django/contrib/gis/utils/layermapping.py:160: warning: check_layer has 54 NLOC, 16 CCN, 358 token, 1 PARAM, 96 length
./django/contrib/gis/utils/layermapping.py:519: warning: _save has 46 NLOC, 17 CCN, 296 token, 3 PARAM, 68 length
./django/contrib/gis/static/gis/js/OLMapWidget.js:163: warning: MapWidget has 86 NLOC, 16 CCN, 754 token, 1 PARAM, 96 length
./django/contrib/gis/db/backends/postgis/operations.py:475: warning: spatial_lookup_sql has 45 NLOC, 23 CCN, 370 token, 6 PARAM, 81 length
./django/contrib/gis/db/models/sql/compiler.py:16: warning: get_columns has 67 NLOC, 17 CCN, 534 token, 2 PARAM, 86 length
./django/contrib/gis/db/models/query.py:588: warning: _distance_attribute has 85 NLOC, 41 CCN, 631 token, 6 PARAM, 144 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/http/multipartparser.py:104: warning: parse has 102 NLOC, 27 CCN, 628 token, 1 PARAM, 151 length
./django/db/migrations/autodetector.py:85: warning: _detect_changes has 159 NLOC, 60 CCN, 1412 token, 3 PARAM, 237 length
./django/db/migrations/autodetector.py:323: warning: check_dependency has 50 NLOC, 31 CCN, 454 token, 3 PARAM, 62 length
./django/db/migrations/autodetector.py:447: warning: generate_created_models has 118 NLOC, 28 CCN, 751 token, 1 PARAM, 143 length
./django/db/migrations/autodetector.py:624: warning: generate_deleted_models has 81 NLOC, 19 CCN, 542 token, 1 PARAM, 103 length
./django/db/migrations/autodetector.py:1011: warning: arrange_for_graph has 37 NLOC, 18 CCN, 250 token, 3 PARAM, 48 length
./django/db/migrations/loader.py:58: warning: load_disk has 50 NLOC, 18 CCN, 320 token, 1 PARAM, 63 length
./django/db/migrations/loader.py:170: warning: build_graph has 54 NLOC, 26 CCN, 433 token, 1 PARAM, 80 length
./django/db/migrations/writer.py:245: warning: serialize has 130 NLOC, 47 CCN, 1029 token, 2 PARAM, 166 length
./django/db/migrations/state.py:42: warning: render has 43 NLOC, 18 CCN, 301 token, 4 PARAM, 60 length
./django/db/migrations/state.py:166: warning: from_model has 67 NLOC, 22 CCN, 439 token, 3 PARAM, 93 length
./django/db/backends/oracle/creation.py:60: warning: _create_test_db has 76 NLOC, 20 CCN, 533 token, 3 PARAM, 83 length
./django/db/backends/oracle/base.py:252: warning: convert_values has 26 NLOC, 27 CCN, 256 token, 3 PARAM, 44 length
./django/db/backends/creation.py:69: warning: sql_create_model has 75 NLOC, 31 CCN, 554 token, 4 PARAM, 87 length
./django/db/backends/schema.py:118: warning: column_sql has 30 NLOC, 18 CCN, 215 token, 4 PARAM, 46 length
./django/db/backends/schema.py:211: warning: create_model has 50 NLOC, 18 CCN, 424 token, 2 PARAM, 68 length
./django/db/backends/schema.py:436: warning: alter_field has 25 NLOC, 19 CCN, 235 token, 5 PARAM, 35 length
./django/db/backends/schema.py:472: warning: _alter_field has 203 NLOC, 79 CCN, 1530 token, 9 PARAM, 252 length
./django/db/models/fields/related.py:583: warning: __set__ has 35 NLOC, 17 CCN, 315 token, 3 PARAM, 58 length
./django/db/models/fields/related.py:1914: warning: _check_relationship_model has 165 NLOC, 31 CCN, 849 token, 3 PARAM, 195 length
./django/db/models/sql/compiler.py:83: warning: as_sql has 60 NLOC, 21 CCN, 517 token, 3 PARAM, 94 length
./django/db/models/sql/compiler.py:193: warning: get_columns has 66 NLOC, 17 CCN, 525 token, 2 PARAM, 81 length
./django/db/models/sql/compiler.py:356: warning: get_ordering has 77 NLOC, 25 CCN, 623 token, 1 PARAM, 100 length
./django/db/models/sql/compiler.py:694: warning: results_iter has 35 NLOC, 19 CCN, 327 token, 1 PARAM, 55 length
./django/db/models/sql/compiler.py:861: warning: as_sql has 46 NLOC, 21 CCN, 449 token, 1 PARAM, 54 length
./django/db/models/sql/query.py:459: warning: combine has 66 NLOC, 20 CCN, 521 token, 3 PARAM, 118 length
./django/db/models/sql/query.py:578: warning: deferred_to_data has 50 NLOC, 21 CCN, 359 token, 3 PARAM, 81 length
./django/db/models/sql/query.py:770: warning: change_aliases has 45 NLOC, 19 CCN, 424 token, 2 PARAM, 64 length
./django/db/models/sql/where.py:169: warning: make_atom has 77 NLOC, 29 CCN, 621 token, 4 PARAM, 98 length
./django/db/models/options.py:520: warning: _fill_related_objects_cache has 24 NLOC, 16 CCN, 221 token, 1 PARAM, 25 length
./django/db/models/query.py:205: warning: iterator has 72 NLOC, 26 CCN, 483 token, 1 PARAM, 101 length
./django/db/models/query.py:1519: warning: __iter__ has 50 NLOC, 20 CCN, 362 token, 1 PARAM, 71 length
./django/db/models/query.py:1704: warning: prefetch_related_objects has 66 NLOC, 23 CCN, 359 token, 2 PARAM, 122 length
./django/db/models/deletion.py:242: warning: delete has 35 NLOC, 18 CCN, 344 token, 1 PARAM, 53 length
./django/db/models/base.py:61: warning: __new__ has 150 NLOC, 57 CCN, 1019 token, 4 PARAM, 224 length
./django/db/models/base.py:360: warning: __init__ has 58 NLOC, 23 CCN, 418 token, 3 PARAM, 95 length
./django/db/models/base.py:807: warning: _get_unique_checks has 33 NLOC, 19 CCN, 285 token, 2 PARAM, 51 length
./django/db/models/base.py:1355: warning: _check_ordering has 43 NLOC, 19 CCN, 255 token, 1 PARAM, 62 length
./django/db/transaction.py:306: warning: __exit__ has 57 NLOC, 22 CCN, 248 token, 4 PARAM, 83 length
./django/views/decorators/http.py:79: warning: condition.condition.decorator.inner has 62 NLOC, 38 CCN, 374 token, 3 PARAM, 78 length
./django/views/debug.py:276: warning: get_traceback_data has 60 NLOC, 19 CCN, 456 token, 1 PARAM, 69 length
./django/views/i18n.py:192: warning: get_javascript_catalog has 71 NLOC, 31 CCN, 525 token, 3 PARAM, 86 length
